NO,순번,표준단어명,표준단어 영문약어명,표준단어 영문명,표준단어 설명,형식단어여부,표준도메인분류명,이음동의어 목록,금칙어 목록,변경구분,변경일자,범정부표준준수 여부,범정부표준적용 차수,최종수정일시
35,35,취득,ACQUISITION,ACQS,取得. 자기 것으로 만들어 가짐,N,,,,수정,2021-07-14 00:00:00.0,Y,1차,20241111 13:35:04
36,36,진입로,ACCESS ROAD,ACRD,들어가는 길,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
37,37,접근,ACCESS,ACS,接近. 가까이 다가감/기억 장치에 데이터를 쓰거나 기억 장치에 들어 있는 데이터를 탐색하고 읽는 과정,N,,,,제정,2023-09-06 00:00:00.0,Y,4차,20241111 13:35:04
38,38,접속자,ACCESS PERSON,ACSR,접속(여러 개의 프로세서와 기억 장치 모듈 사이를 연결하는 일， 전기회로에서 전원·저항·스위치 등의 전기적 연결)하는 사람 혹은 기계,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
39,39,법률,ACT,ACT,국회의 의결을 거쳐 대통령이 서명하고 공포함으로써 성립하는 국법,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
40,40,실제,ACTUAL,ACTL,實際. 사실의 경우나 형편,N,,,,제정,2023-09-06 00:00:00.0,Y,5차,20241111 13:35:04
41,41,행위,ACTION,ACTN,(行爲) 사람이 의지를 가지고 하는 짓,N,,조치,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
42,42,계좌번호,ACCOUNT NUMBER,ACTNO,計座番號. 금융 기관 등에 예금하려고 설정한 개인명의나 법인명의 계좌에 부여하는 식별 번호,Y,,,,수정,2021-07-14 00:00:00.0,Y,2차,20241111 13:35:04
43,43,조치결과,ACTION RESULT,ACTRS,어떤 문제나 사태를 처리한 결과,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
44,44,액티비티,ACTIVITY,ACTV,1. 움직입， 활동
2. BPM 프로세스를 이루는 최소업무 단위,N,,활동， 활동중,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
45,45,ACTIVEX,ACTIVE X,ACTVEX,액티브X， 객체지향적 소프트웨어 구성요소 개발에 사용되는 기술,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
46,46,활성화,ACTIVATE,ACTVT,사회， 조직， 물질， 에너지 따위의 기능이 활발함. 또는 그러한 기능을 활발하게 함,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
47,47,활성,ACTIVATION,ACTVTN,活性. 어떤 시스템이 동작할 수 있는 수준에 있는 것,N,,,,제정,2023-09-06 00:00:00.0,Y,5차,20241111 13:35:04
48,48,종일,ALL DAY (LONG),ADAY,1. 아침부터 저녁까지의 동안
2. 아침부터 저녁까지 내내,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
49,49,AD컬럼,AD COLUMN,ADCOL,(테이블·엑셀 등) AD컬럼,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
50,50,주소,ADDRESS,ADDR,1. 특정 위치를 행정 구역으로 나타낸 이름
2. 데이터가 저장되어 있는 기억 장소의 위치. 또는 그것을 나타내는 수,Y,,,,수정,2021-07-14 00:00:00.0,Y,2차,20241111 13:35:04
51,51,추가,ADDITION,ADDT,나중에 더하여 보탬,N,,가산， 부가， 적산， 첨가， 추가분,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
52,52,학위,ACADEMIC DEGREE,ADGR,學位 어떤 부문의 학문을 전문적으로 익히고 공부하여 일정한 수준에 오른 사람에게 대학에서 주는 자격
(학점인정등에관한법률) 고등교육법 제35조제1항의 규정에 의한 학사학위 또는 동법 제50조제1항의 규정에 의한 전문학사학위와 동등한 효력을 가지는 학위,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
53,53,인접,ADJACENT,ADJC,이웃해 있음. 옆에 닿아 있음,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
54,54,행정구역,ADMINISTRATIVE DISTRICT,ADMDST,行政區域. 행정 기관의 권한이 미치는 범위의 일정한 구역. 특별시， 광역시， 도， 군， 읍， 면 따위이다,N,,,,수정,2021-07-14 00:00:00.0,Y,5차,20241111 13:35:04
55,55,행정처분,ADMINISTRATIVE MEASURE,ADMSR,행정 주체가 구체적 사실에 관한 법 진행으로서 행하는 공법 행위 가운데 권력적 단독 행위. 영업 면허， 공기업의 특허， 조세의 부과 따위이다,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
56,56,채택,ADOPTION,ADPT,의견，제도，작품 따위를 골라서 다루거나 뽑아 씀,N,,,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
57,57,성인,ADULT,ADT,자라서 어른이 된 사람,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
58,58,합산,ADDING UP,ADUP,합하여 계산함,N,,,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
59,59,권고,ADVICE,ADVC,勸告 어떤 일에 관하여 상대방이 어떤 조치를 취할 것을 권유하는 일,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
60,60,고문,ADVISORY,ADVS,어떤 일을 좀 더 효율적이고 바르게 처리하려고 그 방면의 전문가나 전문가들로 이루어진 기구에 의견을 물음,N,,자문,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
61,61,수생태,AQUATIC ECOLOGY,AE,육수생태계(육지의 늪， 호수， 내 따위의 생태계)'의 준말. 더 줄여 '수생태'라고 이르기도 한다,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
62,62,AE컬럼,AE COLUMN,AECOL,(테이블·엑셀 등) AE컬럼,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
63,63,AEGL,ACUTE EXPOSURE GUIDELINE LEVELS,AEGL,미국 환경보호청에서 발표하는 기준으로 사고로 인한 화학물질 누출 시 이를 다루는 비상대응요원에 의해 사용되는 기준,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
64,64,생물측정망,AQUATIC ECOLOGY MONITERING NETWORK,AEM,하천， 하구， 호소 등에 대한 수생태계 현황 및 추세파악하기 위한 측정망,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
65,65,배출량,(THE AMOUNT OF) EMISSION,AEMSN,어떤 물질을 안에서 밖으로 내보내는 양,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
66,66,응시,APPLY EXAMINATION,AEXM,시험에 응함,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
67,67,기존,ALREADY EXIST,AEXST,이미 존재함,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
68,68,AF컬럼,AF COLUMN,AFCOL,(테이블·엑셀 등) AF컬럼,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
69,69,산하기관,AFFILIATED INSTITUTE,AFINS,어떤 기관에 딸린 단체,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
70,70,사후관리,AFTER MANAGEMENT,AFMNG,일이 끝나고 난 후 문제가 생기면 계속 관리를 해주는 일,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
71,71,이후,AFTER,AFTR,以後. 기준이 되는 때를 포함하여 그보다 뒤,N,,,,제정,2023-09-06 00:00:00.0,Y,4차,20241111 13:35:04
72,72,향후,AFTER (FUTURE),AFTRFT,이것에 뒤이어 오는 때나 자리,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
73,73,영급,AGE CLASS,AGCLS,나무를 나이에 따라 나누는 등급,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
74,74,AG컬럼,AG COLUMN,AGCOL,(테이블·엑셀 등) AG컬럼,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
75,75,할당기준,ASSIGNMENT CRITERIA,AGCT,몫을 갈라 나눈 게 기본이 되는 표준,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
76,76,연령,AGE,AGE,사람이나 동·식물 따위가 세상에 나서 살아온 햇수,N,,연령별,,수정,2021-07-14 00:00:00.0,Y,2차,20241111 13:35:04
77,77,가중,AGGRAVATE,AGGRT,(사물이나 현상이 효과를) 더욱 크고 무겁게 하는 것,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
78,78,대리점,AGENCY,AGNCY,특정 회사의 위탁을 받아 거래를 대리하거나 매개하는 일을 하는 가게,N,,대행사,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
79,79,의제,AGENDA,AGND,1. 회의 목적으로 삼을 사항의 "제목" (예: 제무제표 승인， 이익배당， 이사선임 등)
2. 의결여부와 관계없이 당일 회의에서 논의된 안건의 제목,N,,안건,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
80,80,협약,(DISCUSSION) AGREEMENT,AGR,협상에 의하여 조약을 맺음. 또는 그 조약,N,,협정,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
81,81,동의,(OPINION) AGREEMENT,AGRE,의사나 의견을 같이하거나， 다른 사람의 행위를 승인하거나 시인함,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
82,82,동의서,(OPINION) AGREEMENT DOCUMENT,AGRED,어떤 문제에 대하여 동의를 표시하는 문건,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
83,83,동의자,(OPINION) AGREEMENT PERSON,AGRER,의사나 의견에 찬성하는 사람,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
84,84,농축산,AGRICULTURE AND STOCKBREEDING,AGST,농산과 축산을 아울러 이르는 말,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
85,85,대리인,AGENT,AGT,代理人. 다른 사람을 대신하는 사람,N,,,,수정,2021-07-14 00:00:00.0,Y,2차,20241111 13:35:04
86,86,AH컬럼,AH COLUMN,AHCOL,(테이블·엑셀 등) AH컬럼,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
87,87,AI컬럼,AI COLUMN,AICOL,(테이블·엑셀 등) AI컬럼,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
88,88,보좌관,AIDE,AIDE,상관을 돕는 일을 맡은 직책. 또는 그런 관리,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
89,89,취지,AIM,AIM,어떤 일의 근본이 되는 목적이나 긴요한 뜻,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
90,90,대기,AIR,AIR,1. '공기'를 달리 이르는 말
2. 천체(天體)의 표면을 둘러싸고 있는 기체,N,,공기,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
91,91,항공화물운송장,AIR WAYBILL,AIRBL,항공으로 화물을 운송할 시 발행하는 문서,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
92,92,공항,AIRPORT,AIRPT,空港 항공 수송을 위하여 사용하는 공공용 비행장
(교통시설특별회계법) 항공법에 의한 비행장 및 항행안전시설,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
93,93,AJ컬럼,AJ COLUMN,AJCOL,(테이블·엑셀 등) AJ컬럼,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
94,94,조정,ADJUSTMENT,AJMT,調整. 어떤 기준이나 실정에 맞게 정돈함,N,,,,제정,2023-09-06 00:00:00.0,Y,4차,20241111 13:35:04
95,95,AK컬럼,AK COLUMN,AKCOL,(테이블·엑셀 등) AK컬럼,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
96,96,AL컬럼,AL COLUMN,ALCOL,(테이블·엑셀 등) AL컬럼,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
97,97,배당,ALLOCATION,ALCTN,配當. 일정한 기준에 따라 나누어 줌,N,,,,제정,2023-09-06 00:00:00.0,Y,5차,20241111 13:35:04
