표준단어명,표준단어 설명
물환경정보시스템,환경부 산하 국립환경과학원에서 운영하는 물환경 정보 포털 사이트로 물환경 전문정보， 수질측정자료， 하천망분석도， 조류정보 등을 제공
전국오염원조사시스템,4대강 수질정책 등 각종 수질관리를 위한 기초자료 확보를 위한 전국수질오염원에 대한 조사자료 입력 및
,
생태계교란야생동식물,야생 생물 보호 및 관리에 관한 법률에 따라， 환경부령으로 정하는 야생 동식물
워크플로우,작업절차를 통한 정보 또는 업무의 이동 ≒ 작업흐름
가중평균,加重平均 각 항의 수치에 그 중요도에 비례하는 계수를 곱한 다음 산출한 평균. 정밀도나 들어온 양이 같지 않은 물품의 평균 가격처럼 원래의 수치가 동등하지 않다고 생각되는 경우에 주로 사용
무게,1. 물건의 무거운 정도
,
,
세계측지계,지구중심좌표계를 사용하여 지구중심에 원점을 둔 타원체상의 좌표계로 세계 공통으로 쓰일 수 있는 좌표계
탈퇴,脫退. 관계하고 있던 조직이나 단체 따위에서 관계를 끊고 물러남
전체,全體. 개개 또는 부분의 집합으로 구성된 것을 몰아서 하나의 대상으로 삼는 경우에 바로 그 대상
바람,기압의 변화 또는 사람이나 기계에 의하여 일어나는 공기의 움직임
근무자,근무하는 사람
야생생물,산이나 들에서 저절로 나서 자라는 동식물과 미생물
복지,삶의 질에 대한 기준을 높이고， 구성원 전체가 행복하게 살아갈 수 있도록 하는데 중점을 두어 노력하는 정책
수위관측소,하천의 수위를 관측하는 곳
수질TMS,수질오염물질을 실시간으로 원격 측정·감시하는 체계
웹맵서비스,웹 맵 서비스(Web Map Service， WMS)는 GIS (지리 정보 시스템) 데이터베이스에서 데이터를 사용하기 위해 맵 서버에서 생성된 지도 이미지를 인터넷상에서 제공하기 위한 표준 프로토콜
호두,호두나무의 열매. 속살은 지방이 많고 맛이 고소하여 식용하며， 한방에서 변비나 기침의 치료， 동독의 해독 따위의 약재로 쓴다
창,1. 공기나 햇빛을 받을 수 있고， 밖을 내다볼 수 있도록 벽이나 지붕에 낸 문
,
당첨,當籤 추첨에 뽑힘
당첨자,當籤者 추첨에 뽑힌 사람
희망,1. 앞일에 대하여 어떤 기대를 가지고 바람
,
겨울,한 해의 네 철 가운데 네번째. 가장 추운 계절로 양력에서는 12월부터 2월까지， 음력으로는 10월부터 12월까지를 말한다
겨울철새,한 지역으로 가을에 찾아와서 월동을 하고 봄이 지나면 다른 곳으로 떠나며， 여름에는 다른 지역에서 영소， 번식하는 철새
원화,원을 화폐 단위로 하는 한국의 화폐
단어,單語 분리하여 자립적으로 쓸 수 있는 말이나 이에 준하는 말
월류,물 따위가 넘쳐서 흐름
근무,勤務. 직장에 적을 두고 직무에 종사함
양수,물을 위로 퍼 올림. 또는 그 물
풍력,바람의 세기. 풍세(風勢)
수질,물의 성질. 물의 온도， 맑고 흐림， 빛깔， 비중， 방사능 및 유기질과 무기질， 혹은 세균의 함유량 따위에 따라 결정된다
수질자동측정망,주요하천 및 호소에 설치하여 실시간으로 수질오염 상태를 측정·감시함으로써 수질오염사고를 감시하고 오염사고 발생 시 신속한 대응조치로 상수원 보호 및 하천 수질관리를 하기 위한 종합 물환경 감시체계
수질평가지수,일반 국민이나 정책 결정권자들이 하천의 수질을 이해하는 데 도움을 주기 위하여 하천 수질 자료를 종합적으로 평가한 후 수질 상태를 점수화한 것. 다섯 등급으로 구분한다
수질측정망,자동 및 수동 수질 분석 장치를 이용하여 수질을 검사하여 수질 변화 추이를 관찰. 자동 및 수동 수질 분석 장치를 이용하여 수질을 검사하여 수질 변화 추이를 관찰하는 측정망
하폭,강의 넓이
저서,책을 지음. 또는 그 책
직장,職場. 사람들이 일정한 직업을 가지고 일하는 곳
돌망태,돌을 담는， 철사로 만든 망태. 냇가에 둑이나 보를 쌓을 때 쓴다
유선,有線. 전선에 의한 통신 방식
입고,물건을 창고에 넣음
입고자,물건이나 자동차 따위를 창고에 넣는 사람. 또는 그런 것을 관리하는 사람
WRI,세계 각국의 민간기업이나 재단， 정부기관， 정부 간 국제조직， 개인 등으로부터 재정 지원을 받아 운영되는 비영리 환경 전문 연구기관
무선,전선을 사용하지 않고 전자기파를 이용하여 전기 신호를 주고받는 통신 방식
창고용지,물건?따위를?보관하거나?저장하기?위하여?마련한?토지
작성,서류， 원고 따위를 만듦
작성자,서류， 원고 따위를 만드는 사람
저작물,사상이나 기술， 연구 결과， 문예 작품 따위를 글로 써서 책으로 펴낸 것
글,생각이나 일 따위의 내용을 글자로 나타낸 기록
채수병,염분 및 기타 측정을 위하여 물을 보관하는 병
타당성,사물의 이치에 맞는 옳은 성질
수도용지,물을 정수하여 공급하기 위한 취수·저수·도수·정수·송수 및 배수시설의 부지 및 이에 접속된 부속시설물의 부지
폐품,못 쓰게 되어 버린 물품
폐기물처리,폐기물을 방출하기 전에 방사능의 저감이나 오염 확산 방지 등을 위한 조치를 가하는 일
웹사이트,사용자들이 인터넷에서 정보가 필요할 때 언제든지 그것을 제공받을 수 있도록 웹 서버에 정보를 저장해 놓은 집합체
서쪽,해가 지는 쪽. 서녘. 서방
좋은물,"「환경정책기본법 시행령」 별표 1 제3호에 따른 수질 및 수생태계 환경기준(이하 ""환경기준""이라 한다)에서 하천 및 호소의 생활환경기준 등급 중 ""매우 좋음""， ""좋음""， ""약간 좋음""에 해당하는 물을 말한다"
주의보,폭풍， 해일， 홍수 따위의 지표에 일어나는 현상으로 피해를 입을 염려가 있을 때 기상청에서 주의를 주는 예보
수심,물의 깊이
방수위,수력 발전소에서 발전을 위하여 사용한 물을 흘려 보낼 때 하천 하류 지점의 물 높이
관개용수,농사에 필요하여 논밭에 대는 데 드는 물
수위계,물의 높이를 재는 기구. 물에 띄운 부표(浮漂)가 오르내리는 것을 지침(指針)에 전하여 자동적으로 물의 높이를 기록한다
수문,유량 또는 수림 유지를 위하여 수로에 설치하는 개폐용 문
일기도,어떤 지역의 일정한 시각 또는 시간대의 일기 상태를 나타낸 그림
이내,일정한 범위나 한도의 안
날씨,그날그날의 비， 구름， 바람， 기온 따위가 나타나는 기상상태
원천징수,소득이나 수익을 지급하는 쪽에서 세금의 일부를 거두어들이는 방법
습지,濕地 습기가 많은 축축한 땅
,
수위,강， 바다， 호수， 저수지 따위의 물의 높이
물,자연계에 강， 호수， 바다， 지하수 따위의 형태로 널리 분포하는 액체
수폭,물의 너비
지수식,물이 흐르지 아니하고 고여 있게 하여 물고기를 기르는 일
취수,수도 이용자들에게 정수된 물을 공급하기 위해 상수도에서 수원으로부터 물을 취입하는 과정
채수구,소화수조 저수조에 설치하는 것으로 소방차에 물을 공급해 주기 위한 연결구
수관,1. 물이 흘러가도록 만든 관
,
수역,육역(陸域)의 상대어로서 바다， 하천， 호소(湖沼) 등 물에서 일정 범위 또는 구역
수변,바다， 강， 못 따위와 같이 물이 잇는 곳의 가장자리
수원,물이 흘러나오는 근원
수로,1. 물이 흐르거나 물을 보내는 통로
,
,
수면,물의 표면
상수도,上水道 음료수 등으로 쓰기 위한 물을 수도관 등으로 급수하는 설비
수계별,지표의 물이 점차로 모여서 같은 물줄기를 이루는 계통 마다
수온,물의 온도
수도,水道 뱃길 또는 물길
,
구역내,갈라놓은 지역의 안
파고,물결의 높이
풍속,바람의 속도. 지상 10미터에서 어떤 시각의 10분 전에 측정한 것
폐수,공장이나 광산 등지에서 쓰고 난 뒤에 버리는 물
X축,평면이나 공간 좌표에서 가로로 놓인 축
증설,장치， 설비， 기관 따위를 더 늘려 갖추거나 베풀어서 차림
X컬럼,(테이블·엑셀 등) X컬럼
자일렌,벤젠의 수소 원자 두 개가 메틸과 바뀌어 된 무색액체
XML,HyperText 생성 언어를 대체할 목적으로， 월드 와이드 웹 컨소시엄에서 표준화 작업을 진행한 페이지 기술 언어
XPATH,XPath(XML Path Language)는 W3C의 표준으로 확장생성 언어 문서의 구조를 통해 경로 위에 지정한 구문을 사용하여 항목을 배치하고 처리하는 방법을 기술하는 언어
건생식물,내건성이 크고 수분이 적은 토양에서 생육할 수 있는 식물
2005년,2005년도
2006년,2006년도
2007년,서기 2007년
2008년,서기 2008년
2009년,서기 2009년
2010년,서기 2010년
2011년,2011년도
2012년,2012년도
2013년,2013년도
2014년,서기 2014년
2015년,서기 2015년
2016년,서기 2016년
2017년,서기 2017년
2018년,서기 2018년
2019년,2019년도
2020년,2020년도
Y축,평면이나 공간 좌표에서 세로로 놓인 축
Y컬럼,(테이블·엑셀 등) Y컬럼
척도,자로 재는 길이의 표준. 평가하거나 측정할 때 의거할 기준
연말,年末 한해의 마지막 시기
황사,중국 대륙의 사막이나 황토 지대에 있는 가는 모래가 강한 바람으로 인하여 날아올랐다가 점차 내려오는 현상. 봄，초여름에 우리나라에도 날아온다
연월,年月. 특정 연도와 월을 아울러 이르는 말
일자,日子/日字. 어느 날이라고 정한 날로 연월일을 나타냄
여부,與否. 그러함과 그러하지 아니함
14세,14세
60세,60세
년차,년의 차수를 의미
1년,1년(해를 세는 단위. 1년은 약 365.25일)
2년차,2번째의 해
3년차,3번째의 해
4년차,4번째의 해
5년차,5번째의 해
Z컬럼,(테이블·엑셀 등) Z컬럼
우편번호,郵便番號. 우편물을 쉽게 분류하기 위하여 과학기술정보통신부에서 지역마다 매긴 번호
아연,질이 무르고 광택이 나는 청색을 띤 흰색의 금속 원소
지역지구,도시의 일정 지역 내를 도시 계획법에 의해 몇 개의 지역으로 분할하고， 경계와 토지의 이용 제한을 정한 구역
구역,갈라놓은 지역
줌,초점 거리나 화상의 크기를 급격히 변화시키는 기능.또는 그런 촬영 기법
ZIP,개인용 컴퓨터로 내려받기한 데이터를 압축하여 저장하거나 풀어 주는 개방 표준
동물플랑크톤,해수 중에 부유한 채로 물의 흐름에 따라 이동하면서， 식물플랑크톤을 먹이로 서식하는 플랑크톤
영점표고,어떤 기준면에서부터 양수표 0점까지 이르는 높이
역량,力量 어떤 일을 해낼 수 있는 힘
부재,그곳에 있지 아니함
축적,지식， 경험， 자금 따위를 모아서 쌓음
수락,요구를 받아들임
수용,어떠한 것을 받아들임
조치,벌어지는 사태를 잘 살펴서 필요한 대책을 세워 행함. 또는 그 대책
활동중,어떤 일의 성과를 거두기 위하여 몸을 움직여 행동하는 동안
활동,어떤 일의 성과를 거두기 위하여 몸을 움직여 행동함
추가분,나중에 더하여 보태는 부분
부가,주된 것에 덧붙임
첨가,이미 있는 것에 덧붙이거나 보탬
자문,諮問 어떤 일을 좀 더 효율적이고 바르게 처리하려고 그 방면의 전문가나 전문가들로 이루어진 기구에 의견을 물음
연령별,연령에 따른 구별
대행사,대행(남을 대신하여 행함)해주는 업을 주로 하는 회사
안건,案件 토의하거나 조사하여야 할 사실
협정,1. 서로 의논하여 결정함
,
경보,警報 위험 또는 재해가 닥쳐올 때， 사람들에게 경계하도록 알리는 일， 또는 그 보도
대체,다른것으로 대신함
표고,바다의 면이나 어떤 지점을 정하여 수직으로 잰 일정한 지대의 높이
양서,물속이나 땅 위의 양쪽에서 다 삶
답안,물음에 대하여 밝혀 대답함. 또는 그런 대답
발령,명령을 내림. 또는 그 명령， 혹은 긴급한 상황에 대한 경보를 발표함
임명,관직(官職)에 명함. 직무(職務)를 맡김
임용,직무를 맡기어 사람을 씀
선임,選任 사람을 뽑아서 직무를 맡김， 많은 사람 가운데서 선출하여 임명함
항목,項目. 법률이나 규정 따위의 낱낱의 조나 항. 또는 하나의 일을 구성하고 있는 낱낱의 부분이나 갈래
참석,參席. 모임이나 회의 따위의 자리에 참여함
경매,1. 같은 종류의 물건을 파는 사람이 여럿일 때 가장 싸게 팔겠다는 사람에게 물건을 사들이는 일
,
수상,상(賞)을 주거나 받음
기반,기초가 되는 바탕
기저,어떤 것의 바닥이 되는 부분. 사물의 뿌리나 밑바탕이 되는 기초
배터리,건전지， 혹은 기계를 작동시키기 위한 저장된 전원을 일컫는 말
입찰시,입찰을 진행하던 당시
법안,法案 법률의 안건이나 초안
후비,앞날을 대비하여 준비하는 일. 또는 그런 사람
건설,건물， 설비， 시설 따위를 새로 만들어 세움
사업장별,어떤 사업의 활동이 이루어지는 일정한 장소
지사,支社. 본사에서 갈려 나가， 본사의 관할 아래 일정한 지역에서 본사의 일을 대신 맡아 하는 곳
매수자,물건을 사들이는 사람
업체별,업체 마다의
산출분,산출(계산하여 냄)한 분량
계산분,계산(수를 헤아림)할 분량
산출,계산하여 냄
건별,어떤 일이나 문제를 일으킬 만한 특정한 일이나 사건마다
건,어떤 일이나 문제를 일으킬 만한 특정한 일이나 사건
전도,열 또는 전기가 물체 속을 이동하는 일. 또는 그런 현상
증명,그것의 진위를 증거를 들어서 밝힘
필증,어떤 것을 증명하는 것을 마침
체크,사물의 상태를 검사하거나 대조함
점검중,낱낱이 검사하는 동안
자녀,아들과 딸을 아울러 이르는 말
요금용,요금을 산정하는 용도의
특성,그것에만 있는 특수한 성질. 특질
구분,區分. 일정한 기준에 따라 전체를 몇 개로 갈라 나눔
축냉,냉기를 보관함
청구,請求. 상대편에 대하여 일정한 행위나 급부를 요구하는 일
준공분,공사를 마침
공용분,공용(함께 씀. 또는 그런 물건) 대상
보상용,보상(남에게 진 빚 또는 받은 물건을 갚음)을 위한 용도
산정,算定， 셈하여 정함
한문,중국 고전(古典)의 문장
수,셀 수 있는 사물을 세어서 나타낸 값
기여,도움이 되도록 이바지함
연락,어떤 사실을 상대편에게 알림. 또는 이를 위해 서로 관련을 가짐
통제,統制. 일정한 방침이나 목적에 따라 행위를 제한하거나 제약함
제어기,1. 자동 제어 장치에서 제어량을 자동적으로 조절하는 기능을 갖는 기구
,
공모,일반에게 널리 공개하여 모집함
회사,상행위 또는 그 밖의 영리 행위를 목적으로 하는 사단 법인. 주식회사， 유한회사， 합자회사， 합명회사 네 종류
냉각,冷却 식혀서 차게 함
협력,힘을 합하여 서로 도움
복사,複寫 원본을 베낌. 문서나 그림， 사진 따위를 복사기를 이용하여 같은 크기로， 또는 확대?축소하여 복제함. 파일을 디스켓 따위의 다른 곳으로 옮김
용량,가구나 그릇 같은 데 들어갈 수 있는 분량
대응방안,어떤 일이나 사태에 맞추어 일을 처리하기 위하여 나갈 방법이나 계획
자본,1. 장사나 사업 따위의 기본이 되는 돈
,
교육과정,敎育課程. 교육 내용과 관련하여， 교과의 배열과 조직을 체계화한 전체적인 계획
교정,較正 1. 계기류의 정밀도 따위를 표준기와 비교하여 바로잡음
,
시정,고치거나 바로잡음
정정분,정정(글이나 글자 따위의 틀린 곳을 고쳐 바로잡음)된 분량
파쇄,깨어져 부스러짐. 또는 깨뜨려 부숨
공사,토목이나 건축 따위의 일
공사중,공사가 진행중에 있는
중앙,중심이 되는 중요한 곳
계약용,계약을 위한 용도
덮개,그릇이나 상자 따위의 아가리를 덮는 물건
커버,물건을 보호하거나 가리거나 덮거나 싸는 물건
오리,오릿과의 새를 통틀어 이르는 말. 발가락 사이에 물갈퀴가 있으며， 부리는 편평하다. 검둥오리， 청둥오리， 흰뺨검둥오리 따위가 있다
일별,날마다. 날을 단위로 나눈 구별
2일차,2일째의 날
저감,낮추어 줄임
감소,양이나 수치가 줄어듬. 또는 양이나 수치를 줄임
삭제분,삭제될(된) 분량
부서,기관， 기업， 조직 따위에서 일이나 사업의 체계에 따라 나뉘어 있는， 사무의 각 부문
행선지,떠나가는 목적지
차수별,각 차수 별로
직경,원이나 구 따위에서 중심을 지나는 직선으로 그 둘레 위의 두점을 이은 선분
거리당,거리 단위 당
재난,뜻하지 않게 생긴 불행한 변고
지체,더디게 끌거나 끌리어 나감
송달,1. 편지， 서류， 물품 따위를 보내어 줌
,
배달,물건을 가져다가 몫몫으로 나누어 돌림
배송,配送 물자를 여러 곳에 나누어 보내 줌
손상,1. 물체가 깨지거나 상함
,
,
우점도,식물 군락 내에서 각각의 종이 어느 정도 우세한가를 나타내는 수치
요청,要請. 필요한 어떤 일이나 행동을 청함. 또는 그런 청
생활관,직원에게 거처를 빌려주기 위한 공간
위험성,위험하거나 그렇게 될 가능성이 있는 성질
기부자,자선 사업이나 공공사업을 도울 목적으로 재물을 내어 놓은 사람
서면,書面 글씨를 적어 놓은 지면
방향,1. 어떤 방위를 향한 쪽
,
입안자,어떤 안(案)을 세운 사람
배분,몫몫이 별러 나눔
교부,交付/交附. 내어 줌， 물건을 인도하는 일
검출,1. 화학 분석에서 시표 속에 화학종이나 미생물 따위의 존재 유무를 알아내는 일
,
디바이스,어떤 목적을 위해 설계된 기계나 장치를 의미하며， 주변장치라 하고 컴퓨터에 온라인으로 연결된 주변 기기장치
경제성,재화， 노력， 시간 따위의 소비량에 비해 이득이 큰 성질
교육용,교육에 이용하기 위한 용도의
배출계수별,당해 배출시설의 단위 연료 사용량， 단위 제품 생산량， 단위 원료 사용량， 단위 폐기물 소각량 또는 처리량 등 활동자료 단위당 발생하는 온실가스 배출량을 나타내는 계수 마다
긴급,緊急. 긴요하고 급함
비상,1. 뜻밖의 긴급한 사태. 또는 이에 대응하기 위하여 신속히 내려지는 명령
,
진입,향하여 내처 들어감
성립,일이나 관계 따위가 제대로 이루어짐
수립,국가나 정부，제도，계획 따위를 이룩하여 세움
실행,實行 실지로 행함. 컴퓨터를 명령어에 따라서 작동시키는 일
수행자,수행(생각하거나 계획한 대로 일을 해냄)하는 사람
전시회,특정한 물건을 벌여 차려 놓고 일반에게 참고가 되게 하는 모임
보기,1. 어떤 사실을 설명하거나 증명하기 위하여 내세워 보이는 대표적인 것
,
예제,例題 내용의 이해를 돕기 위하여 보기로 내는 연습 문제
사례,어떤 일이 전에 실제로 일어난 예
농업,땅을 이용하여 유용한 식물을 재배하거나 유용한 동물을 기르는 산업. 또는 그런 직업. 넓은 뜻으로 농산물 가공이나 임업도 포함함
농사,곡류， 과채류 따위의 씨나 모종을 심어 기르고 거두는 따위의 일
설비,필요한 것을 베풀어서 갖춤. 또는 그런 시설
시설별,시설(도구， 기계， 장치 따위를 베풀어 설치한 설비) 마다
시설물,도구， 기계， 장치 따위를 베풀어 설치한 설비
고정식,한곳에?고정시켜?움직이지?아니하게?하는?방식
분야,分野. 여러 갈래로 나누어진 범위나 부분
고장,가구나 기계가 제대로 움직이지 못하게 되는 기능상의 장애
농경지,농사짓는데 쓰는 땅
음식,사람이 먹고 마시는 것을 통틀어 이르는 말
형식,1. 사물이 외부로 나타나 보이는 모양
,
형태별,사물의 생김새나 모양마다
무상,어떤 행위에 대하여 아무런 대가나 보상이 없음
포맷,데이터를 기억하거나 인쇄하기 위하여 설정하는 일정한 형식
최초,맨 처음， 가장 처음의
가스용,가스(연료로 사용되는 기체) 용도의
일반용,일반적으로 널리 사용하는 용도， 또는 그런 물건
경사도,기울어진 정도
1등급,신분， 품질， 값 각종 평가 등의 높고 낮음， 좋고 나쁨을 여러 단계로 구분할 때 1번째 (등)급
2급,신분， 품질， 값 각종 평가 등의 높고 낮음， 좋고 나쁨을 여러 단계로 구분할 때 2번째 (등)급
그룹,Group. 함께 행동하거나 공통점이 있어 한데 묶일 수 있는 사람들이나 사물의 무리
집단,일정한 역할을 가지고 여럿이 한데 모여 떼를 이룬 무리나 모임
성장성,사물의 규모나 세력 따위가 점점 커짐， 그 정도
인솔자,여러 사람을 이끌고 가는 사람
관서,관청과 그 부속 기관을 통틀어 이르는 말
세로,위에서 아래로 나 있는 방향. 또는 그 길이
습기,물기가 많아 젖은 듯한 기운
취급,사람이나 사건을 어떤 태도로 대하거나 처리함(다룸)
양도,재산이나 물건을 남에게 넘겨줌
인계,하던 일이나 물품을 넘겨주거나 넘겨받음
양도자,인계하는 사람
보류,어떤 일을 당장 처리하지 아니하고 나중으로 미루어 둠
유예,1. 일을 결행하는 데 날짜나 시간을 미룸. 또는 그런 기간
,
시간,1. 하루를 24개의 간격으로 분리했을 때 하나의 단위(60 minute)
,
,
시간별,하루를 24개의 간격으로 분리했을 때 하나의 단위마다
항구,배가 안전하게 드나들도록 강가나 바닷가에 부두 따위를 설비한 곳
주택용,사람이 들어가 살 수 있게 지은 건물 용도
집,사람이 들어서 살거나 활동할 수 있도록 지은 건출물
주택,사람이 들어가 살 수 있게 지은 건물
호당,집(호: 집을 세는 단위) 마다
세대,현실적으로 주거 및 생계를 같이하는 사람의 집단
가열,어떤 물질에 열을 가함
식별자,(정보·통신) 사용하는 기본 요소들을 구분하기 위하여 정해진 규칙에 따라 부여한 이름 혹은 문자 체계
지표별,방향이나 목적， 기준 따위를 나타내는 표지마다
집행별,1. 실제로 시행함
,
영향,어떤 사물의 효과나 작용이 다른 것에 미치는 일
실내,室內 방이나 건물 따위의 안
산업,인간의 생활을 경제적으로 풍요롭게 하기 위하여 재화사 서비스를 생산하는 사업
색인,특정 내용 중에서 중요한 단어나 항목， 인명 따위를 쉽게 찾아볼 수 있도록 일정한 순서에 따라 별도로 배열한 목록
조회용,어떠한 사항이나 내용이 맞는지 알아보는 일에 사용하기 위한 용도의
설치분,설치(어떤 일을 하는 데 필요한 기관이나 설비 따위를 베품어 둠) 분량
인보이스,송장， 판매하는 재화나 용역의 내역
도서지역,섬(주위가 수역으로 완전히 둘러싸인 육지의 일부) 지역
쟁점,爭點 서로 다투는 중심이 되는 점
직급,職級. 직무의 등급. 일의 종류나 난이도， 책임도 따위가 상당히 비슷한 직위를 한데 묶은 최하위의 구분
직군,성질이 유사한 직무를 한데 뭉뚱그려 군으로 묶은것
학술지,學術誌 학술·예술 분야에 관한 전문적인 글을 싣는 잡지
종류,1. 생물이나 사물을 분류하는 기준
,
,
종류별,종류에 따른， 종류마다의
토지,土地. 경지나 주거지 따위의 사람의 생활과 활동에 이용하는 땅
어학,어떤 나라의 언어， 특히 문법을 연구하는 학문
법,국가의 강제력을 수반하는 사회 규범
지자체,지방자치단체를 줄여 이르는 일. 특별시·광역시·도·시·군과 같이， 국가 영토의 일부를 구역으로 하여 그 구역 내에서 법인 인정하는 한도의 지배권을 소유하는 단체
면허,특정한 일을 할 수 있는 공식적인 자격을 행정기관리 허가함. 또는 그런 일
장부,금품(金品)의 수입(收入) 및 지출(支出)을 기록하는 책
리더,앞장을 서서 여러 사람을 이끌어 가는 사람. 지도자. 지휘자. 주장(主將). 수령
임대,돈을 받고 자기 물건을 남에게 빌려 줌
논리적,論理的 말이나 글에서 사고나 추리 따위를 이치에 맞게 이끌어 가는 과정이나 원리
조명,광선으로 밝게 비춤. 또는 그 광선
전등,백열전구， 형광등， 네온관등， 수은등 등， 전기를 이용하는 등화용 전기기기(부속장치 포함)의 통칭
한도,일정하게 정한 정도. 그 이상 넘을 수 없는 범위
시건,문 따위를 잠금
손실,잃어버리거나 축나서 손해를 봄 또는 그 손해
상실,어떤 것이 아주 없어지거나 사라짐
망실,잃어버려 없어짐
실효성,효력을 잃거나 상실한 성질
수준,사물의 가치나 질 따위의 기준이 되는 일정한 표준이나 정도
레벨,지위나 품질 따위의 일정한 표준이나 정도
주요,주되고 중요함
메인,주되고 중요함
기계,동력을 써서 움직이거나 일을 하는 장치
매체,1. 어떤 작용을 한쪽에서 다른 쪽으로 전달하는 물체， 또는 그런 수단
,
미터,길이를 나타내는 단위로 진공에서 빛이 1/299792458 초 동안 진행한 거리
월,1년을 12개로 분할하였을 때 각각의 시간 단위를 일컬음
10분당,10분(한 시간을 60등분한 단위) 마다
경영,經營 이익이 나도록 회사나 사업 따위를 운영함
설명서,說明書 내용이나 이유， 사용법 따위를 설명한 글
인력분,사람의 노동력으로 감당할 분량
감시,(단속 등을 위하여)주의 깊게 살핌
모델,1. 작품을 만들기 전에 미리 만든 물건. 또는 완성된 작품의 대표적인 보기
,
모듈별,프로그램을 기능별로 분할한 논리적인 일부분
병합,둘 이상의 조직이나 사물을 하나로 합침
시장성,1. 어떤 재화나 용역의 판매로 이윤이 생길 가능성
,
입교,학생이 되어 공부하기 위해 학교에 들어감. 또는 학교를 들어감
방법,方法. 어떤 일을 해 나가거나 목적을 이루기 위하여 취하는 수단이나 방식
산악지,산들이 높고 험준하게 솟아 있는 곳
계량,수량을 헤아리거나 부피， 무게 따위를 잼
필요,꼭 소용이 있음
신규,1. 새로이 하는 일
,
뉴스레터,특정 법인 등 발신자가 정기적으로 읽고 싶은 사람이 구독하는 메일 배달의 한 형태
별명,別名 사람의 생김새나 버릇， 성격 따위의 특징을 가지고 본명 대신에 지어 남들이 부르는 이름
소음,騷音 불규칙하게 뒤섞여 불쾌하고 시끄러운 소리
,
통지서,어떤 사실을 통지하는 글， 또는 문서
순매출,반제품， 부산품， 작업폐물 등을 포함한 총매출액에서 매출환입액， 에누리액 및 매출할인을 공제한 금액을 말함
망,랜이나 모뎀따위의 통신 설비를 갖춘 컴퓨터를 이용하여 서로 연결시켜 주는 조직이나 체계
객체,주체의 행위가 미치는 대상
점유,자기의 소유로 함
점용,하천· 도로·수면 따위를 점거하여 사용함
발생시,어떤 일이나 사물이 생겨난 시점
공문,공공기관이나 단체에서 공식으로 작성한 서류
소속별,소속에 따른 구분
오일,석유， 기름， 윤활유 등을 아울러 이르는 말
누락,마땅히 기록되어야 할 것이 기록에서 빠짐. 또는 빠뜨림
오픈,1. (문 등이) 열려 있는
,
개방시,문이나 어떠한 공간 따위를 열 때
가동,稼動. 사람이나 기계 따위가 움직여 일함. 또는 기계 따위를 움직여 일하게 함
발주,물건을 보내달라고 주문함
조직별,조직 마다의
기구,많은 사람이 모여 어떤 목적을 위하여 구성한 조직이나 기관의 구성 체계
원,사물이 전하여 내려온 그 처음. 원래
운영체계,컴퓨터의 하드웨어 시스템을 효율적으로 운영하기 위한 소프트웨어. 운영체제
성과물,이루어낸 결실. 성과
가공,어떤 시설물을 공중에 가설함
해외,海外 바다의 밖 다른 나라
합격,1. 시험， 검사， 심사 따위에서 일정한 조건을 갖추어 어떠한 자격이나 지위 따위를 얻음
,
과거분,과거에 해당하는 분량
공고,公告. 국가 기관이나 공공 단체에서 일정한 사항을 일반 대중에게 광고， 게시， 또는 다른 공개적 방법으로 널리 알림
컴퓨터,전자 회로를 이용한 고속의 자동 계산기. 숫자 계산， 자동 제어， 데이터 처리， 사무 관리， 언어나 영상 정보 처리 따위에 광범위하게 이용된다
예상,어떤 일을 직접 당하기 전에 미리 생각하여 둠. 또는 그런 내용
PDF,Portable Document Format， 어도비시스템즈에서 만든 문서파일 유형
개인,국가나 사회， 단체 등을 구성하는 낱낱의 사람
물리,物理. 물질의 물리적 성질과 그것이 나타내는 모든 현상
담당자별,담당자(어떤 일을 맡아 책임을 지는 사람) 마다의
종이,식물성 섬유를 원료로 하여 만든 얇은 물건. 주로 글을 쓰거나 그림을 그리거나 인쇄를 하는 데 쓴다
가격,물건이 지니고 있는 가치를 돈으로 나타낸 것
대가,代價 일을 하고 그에 대한 값으로 받는 보수
구매용,구매를 위한 용도
기간,어느 일정한 시기부터 다른 어느 일정한 시기까지의 사이
기간별,기간에 따른， 기간마다의
선호,여럿 가운데서 특별히 가려서 좋아함
진행,進行. 일 등을 처리하여 나감
진행중,일 따위를 처리하여 나가는 와중
부모,아버지와 어머니를 아울러 이르는 말
입증,立證 증거를 내세워 증명함
발의,發議. 회의에서， 심의할 의안(議案)을 내놓음
우선,어떤 일에 앞서서
프로세스,일이 처리되는 경로나 공정
인성,개인이 가지고 있는 고유의 성질이나 품성
보호,위험이나 곤란 따위가 미치지 아니하도록 잘 보살펴 돌봄
방호,어떤 공격이나 해로부터 막아 지켜서 보호함
적절,適切 꼭 알맞음
참가자,모임이나 단체 또는 일 따위에 참가하는 사람
예방,질병이나 재해 따위가 일어나기 전에 미리 대처하여 막는 일
비공개용,어떤 사실이나 사물， 내용 따위를 남에게 알리거나 보이지 아니함
대행,남을 대신하여 행함
1인당,1명의 사람마다
가능성,앞으로 실현될 수 있는 성질이나 정도
보유분,가지고 있거나 간직하고 있는 분량
소유,所有. 가지고 있음. 또는 그 물건
위치,일정한 곳에 자리를 차지함. 또는 그 자리
